STUDENT ID,Student_Age,Sex,Graduated_high_school_type,Scholarship_type,Additional_work,Regular artistic or sports activity,Do you have a partner,Total_salary_if_available,Transportation to the university,Accommodation_type,Mothers_education,Fathers_education ,Number_of_sisters/brothers,Parental_status,Mothers_occupation,Fathers_occupation,Weekly_study_hours,Reading_frequency_noScience,Reading_frequency_science,Attendance_to_the_seminars,Impact of your projects/activities on your success,Attendance_to_classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves my interest and success in the course,Flip-classroom,Cumulative_GPA,Expected_GPA,COURSE_ID,GRADE
STUDENT1,22-25,male,other,50%,Yes,No,No,USD 135-200,Bus,Rental,Primary school,Secondary school,3,Married,Housewife,Other,6-10 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Never,Useful,Less than 2.00,Less than 2.00,First Semester,DD
STUDENT2,22-25,male,other,50%,Yes,No,No,USD 135-200,Bus,Rental,Secondary school,High school,2,Married,Housewife,Retired,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Always,Useful,2.00-2.49,2.50-2.99,First Semester,DD
STUDENT3,22-25,male,state,50%,No,No,No,USD 201-270,Other,Dormitory,Secondary school,Secondary school,2,Married,Housewife,Retired,Less than 5 hours,None,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Sometimes,Sometimes,Never,Not useful,2.00-2.49,2.00-2.49,First Semester,DD
STUDENT4,18-21,female,private,50%,Yes,No,Yes,USD 201-270,Bus,Dormitory,Primary school,Secondary school,5 or above,Married,Housewife,Retired,6-10 hours,None,Sometimes,Yes,Positive,Always,Alone,Regularly during the semester,Always,Sometimes,Sometimes,Not useful,2.50-2.99,2.00-2.49,First Semester,DD
STUDENT5,22-25,male,private,50%,No,No,Yes,USD 271-340,Bus,Other,High school,High school,2,Married,Housewife,Self-employment,Less than 5 hours,None,None,Yes,Positive,Always,With friends,Closest date to the exam,Sometimes,Sometimes,Sometimes,Not useful,2.00-2.49,2.00-2.49,First Semester,DD
STUDENT6,22-25,male,state,50%,No,No,No,USD 201-270,Bus,Rental,High school,High school,2,Married,Housewife,Private sector employee,None,None,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Never,Sometimes,Never,Useful,3.00-3.49,3.00-3.49,First Semester,DC
STUDENT7,18-21,male,state,75%,No,No,No,USD 135-200,Bus,With family,Primary school,High school,1,Married,Housewife,Self-employment,Less than 5 hours,Sometimes,Sometimes,No,Positive,Sometimes,Alone,Closest date to the exam,Always,Always,Always,Not applicable,3.00-3.49,3.00-3.49,First Semester,BB
STUDENT8,18-21,female,state,50%,Yes,Yes,Yes,USD 201-270,Private car/taxi,With family,University,High school,1,Married,Private sector employee,Private sector employee,None,Sometimes,Sometimes,Yes,Positive,Always,Not applicable,Closest date to the exam,Always,Sometimes,Sometimes,Not useful,Less than 2.00,Less than 2.00,First Semester,DC
STUDENT9,22-25,female,other,50%,No,Yes,Yes,USD 135-200,Bus,With family,Secondary school,University,2,Married,Housewife,Self-employment,None,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest date to the exam,Always,Sometimes,Sometimes,Useful,3.00-3.49,2.50-2.99,First Semester,BB
STUDENT10,22-25,female,state,50%,No,No,Yes,USD 271-340,Other,Dormitory,Primary school,Secondary school,3,Married,Housewife,Private sector employee,Less than 5 hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest date to the exam,Sometimes,Sometimes,Sometimes,Useful,Less than 2.00,2.00-2.49,First Semester,Fail
